date,open,high,low,close,volume,raw_close,change_percent,avg_vol_20d
02/03/2023,186.74,193.7499,186.01,190.9,181979203,190.9,-5.85,187548647.8
03/03/2023,194.795,200.48,192.88,197.79,154193297,197.79,3.61,184385897.8
06/03/2023,198.54,198.6,192.3,193.81,128100094,193.81,-2.01,179157802.5
07/03/2023,191.38,194.2,186.1,187.71,148125797,187.71,-3.15,177254687.6
08/03/2023,185.04,186.5,180,182,151897797,182,-3.04,175549062.6
09/03/2023,180.25,185.18,172.5124,172.92,170023812,172.92,-4.99,175016573.5
10/03/2023,175.13,178.29,168.44,173.44,191488891,173.44,0.3,173819448.5
13/03/2023,167.455,177.35,163.91,174.48,167790297,174.48,0.6,171971258.7
14/03/2023,177.31,183.8,177.1401,183.26,143717906,183.26,5.03,170533379
15/03/2023,180.8,182.34,176.03,180.45,145995594,180.45,-1.53,167010373.5
